feature,count,frequency,rank,modality
immune_pct__% CD8+ M total CCR6+ d0,32,0.045714285714285714,86,immune_pct
species__Bacteroides_thetaiotaomicron,32,0.045714285714285714,87,species
immune_pct__% CD8+ RO+ CCR6- IL4+ GMCSF- d1,29,0.041428571428571426,88,immune_pct
quest__Monocytes,29,0.041428571428571426,89,quest
immune_pct__CD8+ MAIT % RO- CD27- d0,28,0.04,90,immune_pct
species__Clostridium_sp_AF34_13,28,0.04,91,species
species__Pseudoruminococcus_massiliensis,28,0.04,92,species
immune_res__% CD8+ M CCR6+ CXCR3+ d0,27,0.03857142857142857,93,immune_res
species__Bacteroides_cellulosilyticus,27,0.03857142857142857,94,species
species__Dorea_longicatena,27,0.03857142857142857,95,species
species__Lachnospira_sp_NSJ_43,27,0.03857142857142857,96,species
species__Acidaminococcus_intestini,26,0.037142857142857144,97,species
species__GGB6613_SGB9347,25,0.03571428571428571,98,species
immune_pct__% CD4+ RO+ CCR6+ CD161+ total IL-17+ d6,24,0.03428571428571429,99,immune_pct
immune_pct__% CD4+ RO+ CCR6+ IL-22+ IL-17+ d1,24,0.03428571428571429,100,immune_pct
immune_pct__% CD8+ RO+ CCR6- INFg+ TNFa- d1,24,0.03428571428571429,101,immune_pct
immune_pct__% CD4+ RO+ INFg- GMCSF+ d1,23,0.032857142857142856,102,immune_pct
immune_res__% DN RO- CCR6- total TNFa+ d1,23,0.032857142857142856,103,immune_res
immune_pct__% DN RO- CCR6- total TNFa+ d1,22,0.03142857142857143,104,immune_pct
species__GGB6601_SGB9333,22,0.03142857142857143,105,species
immune_res__% CD8+ RO+ CCR6- total INFg+ d1,21,0.03,106,immune_res
species__Lachnospira_SGB5077,21,0.03,107,species
species__Parabacteroides_johnsonii,21,0.03,108,species
immune_pct__% CD4+ CCR7+ RO- CXCR5+ d0,20,0.02857142857142857,109,immune_pct
immune_pct__% CD8+ RO+ CCR6- total INFg+ d1,20,0.02857142857142857,110,immune_pct
immune_res__DN % RO+ CD27+ d0,20,0.02857142857142857,111,immune_res
immune_pct__% CD8+ MAIT INFg- GzA+ d1,19,0.027142857142857142,112,immune_pct
immune_pct__% CD8+ RO+ Va7.2- total INFg+ d6,19,0.027142857142857142,113,immune_pct
immune_pct__% viable CD3- CCR6- CD161- INFg+ d1,19,0.027142857142857142,114,immune_pct
immune_pct__% CD4+ RO+ CCR6+ total IL-17+ d1,18,0.025714285714285714,115,immune_pct
immune_res__% CD4+ RO+ INFg- GMCSF+ d1,18,0.025714285714285714,116,immune_res
immune_res__% CD8+ MAIT total INFg+ d1,18,0.025714285714285714,117,immune_res
immune_res__% CD4+ CCR7+ RO- CD31+ CXCR3- d0,17,0.024285714285714285,118,immune_res
immune_res__% CD4+ RO+ CCR6+ CD161+ IL-17+ INFg+ d6,17,0.024285714285714285,119,immune_res
immune_res__% CD8+ MAIT INFg- TNFa+ d1,17,0.024285714285714285,120,immune_res
immune_res__% CD8+ RO+ Va7.2- total INFg+ d6,17,0.024285714285714285,121,immune_res
immune_res__viable CD8+ MAIT d6,17,0.024285714285714285,122,immune_res
species__Rikenellaceae_bacterium,17,0.024285714285714285,123,species
species__Sutterella_SGB9281,17,0.024285714285714285,124,species
immune_pct__% CD4+ RO+ CCR6+ CD161+ IL-17+ INFg+ d6,16,0.022857142857142857,125,immune_pct
immune_pct__% CD8+ INFg+ IL4+ d1,16,0.022857142857142857,126,immune_pct
immune_pct__% CD8+ MAIT INFg+ TNFa+ d1,16,0.022857142857142857,127,immune_pct
immune_pct__% CD8+ MAIT total INFg+ d1,16,0.022857142857142857,128,immune_pct
immune_pct__viable CD8+ MAIT d6,16,0.022857142857142857,129,immune_pct
immune_res__total % CD8+ d0,16,0.022857142857142857,130,immune_res
immune_res__% CD4+ CCR7+ RO- CXCR5+ d0,15,0.02142857142857143,131,immune_res
immune_res__% CD4+ RO+ CCR6+ total IL-17+ d1,15,0.02142857142857143,132,immune_res
species__Parasutterella_SGB9260,15,0.02142857142857143,133,species
species__Phocaeicola_coprocola,15,0.02142857142857143,134,species
immune_res__% viable CD3- CCR6- CD161- INFg+ d1,14,0.02,135,immune_res
species__Alistipes_finegoldii,14,0.02,136,species
immune_pct__% CD8+ MAIT total TNFa+ d6,13,0.018571428571428572,137,immune_pct
immune_pct__% CD8+ and DN MAIT,13,0.018571428571428572,138,immune_pct
immune_pct__CD8+ DN+ MAIT % RO- CD27+ d0,13,0.018571428571428572,139,immune_pct
immune_res__% CD14+ d0,13,0.018571428571428572,140,immune_res
immune_res__% CD4+ RO+ CD161+ d6,13,0.018571428571428572,141,immune_res
immune_res__% CD8+ in total MAIT d6,13,0.018571428571428572,142,immune_res
immune_res__CD8+ DN+ MAIT % RO- CD27+ d0,13,0.018571428571428572,143,immune_res
species__Bacteroides_salyersiae,13,0.018571428571428572,144,species
species__Bacteroides_xylanisolvens,13,0.018571428571428572,145,species
species__Lacrimispora_celerecrescens,13,0.018571428571428572,146,species
species__Ruminococcus_gnavus,13,0.018571428571428572,147,species
immune_pct__% CD3- CD19- DR+ d0,12,0.017142857142857144,148,immune_pct
immune_pct__% CD4+ N FOXP3+ d1,12,0.017142857142857144,149,immune_pct
immune_pct__% CD8+ RO+ CCR6+ IL-17+ INFg- d1,12,0.017142857142857144,150,immune_pct
immune_pct__% CD8+ total INFg+ d6,12,0.017142857142857144,151,immune_pct
immune_pct__% DN RO+ CCR6- INFg- TNFa+ d1,12,0.017142857142857144,152,immune_pct
immune_res__% CD8+ and DN MAIT,12,0.017142857142857144,153,immune_res
quest__Absolute Neutrophils,12,0.017142857142857144,154,quest
species__Clostridiales_bacterium,12,0.017142857142857144,155,species
age,11,0.015714285714285715,156,metadata
immune_pct__% CD4+ RO+ CD161+ d6,11,0.015714285714285715,157,immune_pct
immune_pct__% DN d6,11,0.015714285714285715,158,immune_pct
immune_pct__%DN MAIT d0,11,0.015714285714285715,159,immune_pct
immune_res__% CD4+ RO+ CCR6+ INFg+ IL-17+ d1,11,0.015714285714285715,160,immune_res
immune_res__% CD8+ M CCR7+ CXCR5+ d0,11,0.015714285714285715,161,immune_res
immune_res__viable total CD8+ d6,11,0.015714285714285715,162,immune_res
species__Bifidobacterium_adolescentis,11,0.015714285714285715,163,species
immune_pct__% CD4+ RO+ INFg+ IL-17+ d1,10,0.014285714285714285,164,immune_pct
immune_pct__% CD4+ RO+ d6,10,0.014285714285714285,165,immune_pct
immune_pct__% CD8+ M CCR7+ CXCR5+ d0,10,0.014285714285714285,166,immune_pct
immune_pct__% Dcs d0,10,0.014285714285714285,167,immune_pct
immune_res__% CD19+ CD3- CD27+ IgG- d0,10,0.014285714285714285,168,immune_res
immune_res__% CD4+ CCR7+ RO- CD31+ CXCR3+ d0,10,0.014285714285714285,169,immune_res
immune_res__% CD4+ RO+ CCR6+ CD161+ total IL-17+ d6,10,0.014285714285714285,170,immune_res
immune_res__% CD8+ RO- CD27+ d0,10,0.014285714285714285,171,immune_res
immune_res__% CD8+ RO- Va7.2- INFg+ TNFa+ d6,10,0.014285714285714285,172,immune_res
immune_res__% DN d6,10,0.014285714285714285,173,immune_res
immune_res__Total gd Cells (gdTCR CD3hi + CD3lo),10,0.014285714285714285,174,immune_res
immune_pct__% DN RO- CCR6- INFg- TNFa+ d1,9,0.012857142857142857,175,immune_pct
immune_res__% CD8+ IL-17- INFg+ d6,9,0.012857142857142857,176,immune_res
immune_res__% CD8+ M total CCR4+ d0,9,0.012857142857142857,177,immune_res
immune_res__% DN RO- CCR6- INFg- TNFa+ d1,9,0.012857142857142857,178,immune_res
immune_res__%DN MAIT d0,9,0.012857142857142857,179,immune_res
species__Blautia_massiliensis,9,0.012857142857142857,180,species
species__GGB9342_SGB14306,9,0.012857142857142857,181,species
species__Prevotella_copri_clade_A,9,0.012857142857142857,182,species
species__Ruminococcaceae_unclassified_SGB15234,9,0.012857142857142857,183,species
immune_pct__% CD4+ RO+ CCR6- d6,8,0.011428571428571429,184,immune_pct
immune_pct__% CD4+ RO+ FOXP3+ INFg- TNFa+ IL-17+ d1,8,0.011428571428571429,185,immune_pct
immune_pct__%CD8+ CD161+ Va7.2- d6,8,0.011428571428571429,186,immune_pct
immune_res__% CD8+ and DN,8,0.011428571428571429,187,immune_res
species__Bacteroides_finegoldii,8,0.011428571428571429,188,species
species__Coprococcus_eutactus,8,0.011428571428571429,189,species
immune_pct__% CD4+ RO+ CCR7- d0,7,0.01,190,immune_pct
immune_pct__% CD8+ M CCR4+ CXCR3- d0,7,0.01,191,immune_pct
immune_res__% CD4+ RO+ CCR6- d6,7,0.01,192,immune_res
immune_res__% CD8+ RO+ CD31+ CD27+ d0,7,0.01,193,immune_res
immune_res__% Dcs d0,7,0.01,194,immune_res
quest__HDL Cholesterol,7,0.01,195,quest
"quest__Protein, Total",7,0.01,196,quest
species__GGB1681_SGB2313,7,0.01,197,species
immune_res__% CD3- CD19- DR+ d0,6,0.008571428571428572,198,immune_res
immune_res__% CD4+ RO+ CCR7- d0,6,0.008571428571428572,199,immune_res
immune_res__% CD4+ RO+ FOXP3+ INFg- TNFa+ IL-17+ d1,6,0.008571428571428572,200,immune_res
immune_res__% CD8+ M CCR4+ CXCR3- d0,6,0.008571428571428572,201,immune_res
immune_res__% CD8+ RO- Va7.2- total TNFa+ d6,6,0.008571428571428572,202,immune_res
immune_res__%CD8+ CD161+ Va7.2- d6,6,0.008571428571428572,203,immune_res
immune_res__DN % RO- CD27- d0,6,0.008571428571428572,204,immune_res
quest__Carbon Dioxide,6,0.008571428571428572,205,quest
species__Bacteroides_caccae,6,0.008571428571428572,206,species
species__GGB6608_SGB9342,6,0.008571428571428572,207,species
species__GGB9602_SGB15031,6,0.008571428571428572,208,species
species__GGB9758_SGB15368,6,0.008571428571428572,209,species
species__Lachnospiraceae_bacterium_WCA3_601_WT_6H,6,0.008571428571428572,210,species
species__Parabacteroides_distasonis,6,0.008571428571428572,211,species
species__Ruminococcaceae_unclassified_SGB15260,6,0.008571428571428572,212,species
immune_pct__% CD4+ RO+ CCR6- IL-17+ INFg+ d6,5,0.007142857142857143,213,immune_pct
immune_pct__% CD8+ M CCR6+ CXCR3- d0,5,0.007142857142857143,214,immune_pct
immune_pct__% CD8+ MAIT INFg+ TNFa- d1,5,0.007142857142857143,215,immune_pct
immune_pct__% CD8+ RO+ CCR6+ IL-17+ INFg+ d1,5,0.007142857142857143,216,immune_pct
immune_res__% CD4+ RO+ CCR6- IL-17+ INFg+ d6,5,0.007142857142857143,217,immune_res
immune_res__% CD4+ RO+ CD27- (TEM) d0,5,0.007142857142857143,218,immune_res
immune_res__% CD4+ RO+ INFg+ IL-17+ d1,5,0.007142857142857143,219,immune_res
immune_res__% CD4+ RO+ d6,5,0.007142857142857143,220,immune_res
immune_res__% CD8+ M total CCR6+ d0,5,0.007142857142857143,221,immune_res
immune_res__% CD8+ MAIT INFg+ TNFa- d1,5,0.007142857142857143,222,immune_res
immune_res__% CD8+ MAIT INFg- GzA+ d1,5,0.007142857142857143,223,immune_res
immune_res__CD8+ MAIT % RO+ CD27+ d0,5,0.007142857142857143,224,immune_res
quest__Absolute Eosinophils,5,0.007142857142857143,225,quest
species__Blautia_obeum,5,0.007142857142857143,226,species
species__Parabacteroides_merdae,5,0.007142857142857143,227,species
species__Ruminococcus_sp_NSJ_71,5,0.007142857142857143,228,species
immune_pct__% CD4+ CCR7+ RO- CD31+ CXCR3+ d0,4,0.005714285714285714,229,immune_pct
immune_pct__% CD4+ CCR7+ RO- CD31- CXCR3+ d0,4,0.005714285714285714,230,immune_pct
immune_pct__% CD8+ MAIT IL-17- INFg+ d6,4,0.005714285714285714,231,immune_pct
immune_pct__% CD8+ MAIT INFg- TNFa+ d6,4,0.005714285714285714,232,immune_pct
immune_pct__% CD8+ RO- CCR6- IL4- GMCSF+ d1,4,0.005714285714285714,233,immune_pct
immune_pct__% CD8+ RO- Va7.2- INFg+ TNFa+ d6,4,0.005714285714285714,234,immune_pct
immune_pct__% DN MAIT d6,4,0.005714285714285714,235,immune_pct
immune_pct__% viable CD3- CCR6- CD161+ INFg- d1,4,0.005714285714285714,236,immune_pct
immune_res__% CD4+ M CD25- CD27+ d0,4,0.005714285714285714,237,immune_res
immune_res__% CD4+ RO+ CCR6+ IL-22+ IL-17+ d1,4,0.005714285714285714,238,immune_res
immune_res__% CD8+ MAIT IL-17- INFg+ d6,4,0.005714285714285714,239,immune_res
immune_res__% CD8+ RO- CCR6- IL4- GMCSF+ d1,4,0.005714285714285714,240,immune_res
immune_res__% viable CD3- CCR6- GzA- INFg+ d1,4,0.005714285714285714,241,immune_res
immune_res__CD8+ DN+ MAIT % RO- CD27- d0,4,0.005714285714285714,242,immune_res
quest__Absolute Basophils,4,0.005714285714285714,243,quest
species__GGB9059_SGB13976,4,0.005714285714285714,244,species
immune_pct__% CD4+ M FOXP3+ d1,3,0.004285714285714286,245,immune_pct
immune_pct__% CD4+ RO+ CCR6+ CD161- d6,3,0.004285714285714286,246,immune_pct
immune_pct__% CD8+ IL-17+ IL-22+ d6,3,0.004285714285714286,247,immune_pct
immune_pct__% CD8+ MAIT INFg+ TNFa+ d6,3,0.004285714285714286,248,immune_pct
immune_pct__% CD8+ RO- CCR6- total TNFa+ d1,3,0.004285714285714286,249,immune_pct
immune_pct__% CD8+ and DN,3,0.004285714285714286,250,immune_pct
immune_pct__% viable CD3+ of total CD3+,3,0.004285714285714286,251,immune_pct
immune_pct__% viable CD3- CCR6- CD161+ INFg+ d1,3,0.004285714285714286,252,immune_pct
immune_pct__%CD8+ MAIT d6,3,0.004285714285714286,253,immune_pct
immune_pct__CD8+ % RO+ CD27+ d0,3,0.004285714285714286,254,immune_pct
immune_pct__CD8+ MAIT % RO- CD27+ d0,3,0.004285714285714286,255,immune_pct
immune_pct__DN % RO- CD27+ d0,3,0.004285714285714286,256,immune_pct
immune_pct__NK % CD56lo CD16-,3,0.004285714285714286,257,immune_pct
immune_res__% CD4+ M CXCR5- CCR7+ d0,3,0.004285714285714286,258,immune_res
immune_res__% CD4+ M total CCR4+ d0,3,0.004285714285714286,259,immune_res
immune_res__% CD4+ N FOXP3+ d1,3,0.004285714285714286,260,immune_res
immune_res__% CD8+ MAIT total TNFa+ d6,3,0.004285714285714286,261,immune_res
immune_res__% CD8+ RO- CCR6- total INFg+ d1,3,0.004285714285714286,262,immune_res
immune_res__% CD8+ total INFg+ d6,3,0.004285714285714286,263,immune_res
immune_res__% DN MAIT d6,3,0.004285714285714286,264,immune_res
immune_res__% viable CD3+ of total CD3+,3,0.004285714285714286,265,immune_res
immune_res__% viable CD3- CCR6- CD161+ INFg+ d1,3,0.004285714285714286,266,immune_res
immune_res__%CD8+ MAIT d6,3,0.004285714285714286,267,immune_res
immune_res__CD8+ MAIT % RO- CD27+ d0,3,0.004285714285714286,268,immune_res
immune_res__CD8+ MAIT % RO- CD27- d0,3,0.004285714285714286,269,immune_res
immune_res__DN % RO- CD27+ d0,3,0.004285714285714286,270,immune_res
quest__Alkaline Phosphatase,3,0.004285714285714286,271,quest
quest__Chol/HDLC Ratio,3,0.004285714285714286,272,quest
quest__Platelet Count,3,0.004285714285714286,273,quest
quest__Sed Rate,3,0.004285714285714286,274,quest
species__Alistipes_ihumii,3,0.004285714285714286,275,species
species__Anaerobutyricum_hallii,3,0.004285714285714286,276,species
species__Bacteroides_faecis,3,0.004285714285714286,277,species
species__Escherichia_coli,3,0.004285714285714286,278,species
species__Parasutterella_excrementihominis,3,0.004285714285714286,279,species
species__Ruminococcus_bicirculans,3,0.004285714285714286,280,species
immune_pct__% CD3- CD19- CD14+ CD16+,2,0.002857142857142857,281,immune_pct
immune_pct__% CD4+ IL-17+ IL-22+ d6,2,0.002857142857142857,282,immune_pct
immune_pct__% CD4+ IL-17- IL-22+ d6,2,0.002857142857142857,283,immune_pct
immune_pct__% CD4+ INFg+ TNFa+ d6,2,0.002857142857142857,284,immune_pct
immune_pct__% CD4+ INFg+ TNFa- d6,2,0.002857142857142857,285,immune_pct
immune_pct__% CD4+ M CXCR5- CCR7+ d0,2,0.002857142857142857,286,immune_pct
immune_pct__% CD4+ RO+ CCR6+ INFg+ IL4+ d1,2,0.002857142857142857,287,immune_pct
immune_pct__% CD4+ RO+ FOXP3+ INFg- TNFa+ IL-17- d1,2,0.002857142857142857,288,immune_pct
immune_pct__% CD8+ IL-17- INFg+ d6,2,0.002857142857142857,289,immune_pct
immune_pct__% CD8+ MAIT total Granzyme+ d1,2,0.002857142857142857,290,immune_pct
immune_pct__% CD8+ RO- CCR6- IL4+ GMCSF+ d1,2,0.002857142857142857,291,immune_pct
immune_pct__% CD8+ RO- CCR6- INFg+ TNFa+ d1,2,0.002857142857142857,292,immune_pct
immune_pct__% pDcs d0,2,0.002857142857142857,293,immune_pct
immune_pct__CD4:CD8 d0,2,0.002857142857142857,294,immune_pct
immune_res__% CD4+ IL-17+ IL-22+ d6,2,0.002857142857142857,295,immune_res
immune_res__% CD4+ IL-17- IL-22+ d6,2,0.002857142857142857,296,immune_res
immune_res__% CD4+ INFg+ TNFa+ d6,2,0.002857142857142857,297,immune_res
immune_res__% CD4+ INFg+ TNFa- d6,2,0.002857142857142857,298,immune_res
immune_res__% CD4+ RO+ CCR6+ INFg- IL-17+ d1,2,0.002857142857142857,299,immune_res
immune_res__% CD4+ RO- CD27- (TEMRA) d0,2,0.002857142857142857,300,immune_res
immune_res__% CD8+ M CCR7+ CXCR5- d0,2,0.002857142857142857,301,immune_res
immune_res__% CD8+ MAIT IL-17+ INFg+ d6,2,0.002857142857142857,302,immune_res
immune_res__% CD8+ MAIT INFg+ TNFa+ d1,2,0.002857142857142857,303,immune_res
immune_res__% CD8+ RO+ Va7.2- INFg+ TNFa- d6,2,0.002857142857142857,304,immune_res
immune_res__% CD8+ total TNFa+ d1,2,0.002857142857142857,305,immune_res
immune_res__% DN RO+ CCR6- INFg- TNFa+ d1,2,0.002857142857142857,306,immune_res
immune_res__total % CD4+ d6,2,0.002857142857142857,307,immune_res
quest__C-Reactive Protein,2,0.002857142857142857,308,quest
"quest__Cholesterol, Total",2,0.002857142857142857,309,quest
quest__MPV,2,0.002857142857142857,310,quest
species__Akkermansia_sp_KLE1605,2,0.002857142857142857,311,species
species__Clostridia_unclassified_SGB13972,2,0.002857142857142857,312,species
species__GGB6612_SGB9346,2,0.002857142857142857,313,species
species__GGB9176_SGB14114,2,0.002857142857142857,314,species
species__Gemmiger_formicilis,2,0.002857142857142857,315,species
species__Phocaeicola_massiliensis,2,0.002857142857142857,316,species
species__Phocaeicola_vulgatus,2,0.002857142857142857,317,species
species__Roseburia_faecis,2,0.002857142857142857,318,species
species__Ruminococcus_lactaris,2,0.002857142857142857,319,species
immune_pct__% CD19+ CD3- CD27+ IgG- d0,1,0.0014285714285714286,320,immune_pct
immune_pct__% CD4+ M CXCR5+ CCR7- d0,1,0.0014285714285714286,321,immune_pct
immune_pct__% CD4+ RO+ CCR6+ INFg- IL-17+ d1,1,0.0014285714285714286,322,immune_pct
immune_pct__% CD4+ RO+ CD161- IL-17- INFg+ d6,1,0.0014285714285714286,323,immune_pct
immune_pct__% CD4+ RO+ CD27+ (TCM) d0,1,0.0014285714285714286,324,immune_pct
immune_pct__% CD4+ RO+ CD27- (TEM) d0,1,0.0014285714285714286,325,immune_pct
immune_pct__% CD4+ RO+ FOXP3+ INFg- TNFa- IL-17+ d1,1,0.0014285714285714286,326,immune_pct
immune_pct__% CD4+ RO+ IL-22+ IL-17+ d1,1,0.0014285714285714286,327,immune_pct
immune_pct__% CD4+ RO+ INFg+ GzA- d1,1,0.0014285714285714286,328,immune_pct
immune_pct__% CD4+ RO+ total INFg+ d1 P13,1,0.0014285714285714286,329,immune_pct
immune_pct__% CD8+ IL-17- IL-22+ d6,1,0.0014285714285714286,330,immune_pct
immune_pct__% CD8+ INFg- TNFa+ d1 P13,1,0.0014285714285714286,331,immune_pct
immune_pct__% CD8+ M total CCR4+ d0,1,0.0014285714285714286,332,immune_pct
immune_pct__% CD8+ MAIT INFg- TNFa+ d1,1,0.0014285714285714286,333,immune_pct
immune_pct__% CD8+ RO+ CD27- d0,1,0.0014285714285714286,334,immune_pct
immune_pct__% CD8+ RO+ Va7.2- INFg+ TNFa- d6,1,0.0014285714285714286,335,immune_pct
immune_pct__% CD8+ RO- Va7.2- total INFg+ d6,1,0.0014285714285714286,336,immune_pct
immune_pct__% DN CD161+ Va7.2- d6,1,0.0014285714285714286,337,immune_pct
immune_pct__% DN RO- CCR6- total INFg+ d1,1,0.0014285714285714286,338,immune_pct
immune_pct__% Dcs CD1c+ d0,1,0.0014285714285714286,339,immune_pct
immune_pct__%DN CD161+ Va7.2- d0,1,0.0014285714285714286,340,immune_pct
immune_pct__CD4:CD8 d6,1,0.0014285714285714286,341,immune_pct
immune_pct__DN % RO+ CD27- d0,1,0.0014285714285714286,342,immune_pct
immune_pct__viable total CD8+ d6,1,0.0014285714285714286,343,immune_pct
immune_res__% CD19+ CD3- d0,1,0.0014285714285714286,344,immune_res
immune_res__% CD3- CD19- CD14+ CD16+,1,0.0014285714285714286,345,immune_res
immune_res__% CD4+ CCR7+ RO- CD31- CXCR3+ d0,1,0.0014285714285714286,346,immune_res
immune_res__% CD4+ M total CCR6+ d0,1,0.0014285714285714286,347,immune_res
immune_res__% CD4+ RO+ CCR6- total IL-17+ d6,1,0.0014285714285714286,348,immune_res
